Voltage_V,CurrentDensity_mAcm2
-0.73423023,-5.59408809
-0.62832333,-5.59183472
-0.53250879,-5.58958134
-0.44544255,-5.58732797
-0.36597093,-5.58507459
-0.29310742,-5.58282122
-0.22605127,-5.58056785
-0.16408568,-5.57831447
-0.10664707,-5.57606110
-0.05318915,-5.57380772
-0.00329164,-5.57155435
0.04342175,-5.56930098
0.08730390,-5.56704760
0.12862160,-5.56479423
0.16764519,-5.56254085
0.20458409,-5.56028748
0.23962657,-5.55803411
0.27296468,-5.55578073
0.30474664,-5.55352736
0.33509567,-5.55127398
0.36412897,-5.54902061
0.39196207,-5.54676723
0.41869985,-5.54451386
0.44441967,-5.54226049
0.46918572,-5.54000711
0.49308657,-5.53775374
0.51618927,-5.53550036
0.53851101,-5.53324699
0.56013712,-5.53099362
0.58110864,-5.52874024
0.60146520,-5.52648687
0.62124395,-5.52423349
0.64047925,-5.52198012
0.65920489,-5.51972675
0.67745200,-5.51747337
0.69523763,-5.51522000
0.71257741,-5.51296662
0.72951824,-5.51071325
0.74608439,-5.50845988
0.76224785,-5.50620650
0.77807975,-5.50395313
0.79356563,-5.50169975
0.80873062,-5.49944638
0.82358692,-5.49719301
0.83814877,-5.49493963
0.85241854,-5.49268626
0.86643456,-5.49043288
0.88015823,-5.48817951
0.89364667,-5.48592614
0.90689621,-5.48367276
0.91988923,-5.48141939
0.93266628,-5.47916601
0.94523207,-5.47691264
0.95757316,-5.47465927
0.96970119,-5.47240589
0.98163457,-5.47015252
0.99337801,-5.46789914
1.00493568,-5.46564577
1.01631214,-5.46339240
1.02749453,-5.46113902
1.03850593,-5.45888565
1.04935005,-5.45663227
1.06003092,-5.45437890
1.07055209,-5.45212552
1.08091722,-5.44987215
1.09112984,-5.44761878
1.10119364,-5.44536540
1.11111210,-5.44311203
1.12088860,-5.44085865
1.13052671,-5.43860528
1.14002987,-5.43635191
1.14941717,-5.43409853
1.15869674,-5.43184516
1.16781498,-5.42959178
1.17681126,-5.42733841
1.18567679,-5.42508504
1.19441910,-5.42283166
1.20304697,-5.42057829
1.21156347,-5.41832491
1.21997176,-5.41607154
1.22827502,-5.41381817
1.23647573,-5.41156479
1.24454745,-5.40931142
1.25252150,-5.40705804
1.26040359,-5.40480467
1.26819480,-5.40255130
1.27587924,-5.40029792
1.28345302,-5.39804455
1.29094285,-5.39579117
1.29835142,-5.39353780
1.30566608,-5.39128443
1.31287373,-5.38903105
1.32000721,-5.38677768
1.32706962,-5.38452430
1.33401881,-5.38227093
1.34089336,-5.38001756
1.34770404,-5.37776418
1.35441427,-5.37551081
1.36104617,-5.37325743
1.36762145,-5.37100406
1.37409660,-5.36875068
1.38050223,-5.36649731
1.38685849,-5.36424394
1.39310214,-5.36199056
1.39929778,-5.35973719
1.40542695,-5.35748381
1.41146692,-5.35523044
1.41746893,-5.35297707
1.42337171,-5.35072369
1.42922704,-5.34847032
1.43501782,-5.34621694
1.44073154,-5.34396357
1.44641128,-5.34171020
1.45198842,-5.33945682
1.45754348,-5.33720345
1.46300365,-5.33495007
1.46843155,-5.33269670
1.47378324,-5.33044333
1.47908913,-5.32818995
1.48433325,-5.32593658
1.48952230,-5.32368320
1.49465956,-5.32142983
1.49973698,-5.31917646
1.50476836,-5.31692308
1.50973935,-5.31466971
1.51466552,-5.31241633
1.51953532,-5.31016296
1.52435714,-5.30790959
1.52913106,-5.30565621
1.53384926,-5.30340284
1.53853265,-5.30114946
1.54314808,-5.29889609
1.54774641,-5.29664272
1.55225990,-5.29438934
1.55677339,-5.29213597
1.56119103,-5.28988259
1.56560338,-5.28762922
1.56994785,-5.28537584
1.57425988,-5.28312247
1.57853681,-5.28086910
1.58274926,-5.27861572
1.58696171,-5.27636235
1.59107802,-5.27410897
1.59519170,-5.27185560
1.59925270,-5.26960223
1.60326826,-5.26734885
1.60727984,-5.26509548
1.61119797,-5.26284210
1.61511609,-5.26058873
1.61898753,-5.25833536
1.62280890,-5.25608198
1.62663027,-5.25382861
1.63036901,-5.25157523
1.63409422,-5.24932186
1.63780334,-5.24706849
1.64143293,-5.24481511
1.64506251,-5.24256174
1.64865346,-5.24030836
1.65218792,-5.23805499
1.65572238,-5.23580162
1.65920290,-5.23354824
1.66264264,-5.23129487
1.66608238,-5.22904149
1.66946022,-5.22678812
1.67280538,-5.22453475
1.67615053,-5.22228137
1.67943365,-5.22002800
1.68268434,-5.21777462
1.68593503,-5.21552125
1.68913162,-5.21326788
1.69228768,-5.21101450
1.69544373,-5.20876113
1.69856232,-5.20650775
1.70162325,-5.20425438
1.70468418,-5.20200101
1.70773390,-5.19974763
1.71069897,-5.19749426
1.71366404,-5.19524088
1.71662911,-5.19298751
1.71952297,-5.19073413
1.72239100,-5.18848076
1.72525904,-5.18622739
1.72810380,-5.18397401
1.73087319,-5.18172064
1.73364257,-5.17946726
1.73641195,-5.17721389
1.73911954,-5.17496052
1.74178810,-5.17270714
1.74445665,-5.17045377
1.74712520,-5.16820039
1.74970543,-5.16594702
1.75227037,-5.16369365
1.75483531,-5.16144027
1.75740025,-5.15918690
1.75986457,-5.15693352
1.76232243,-5.15468015
1.76478028,-5.15242678
1.76723813,-5.15017340
1.76960088,-5.14792003
1.77194757,-5.14566665
1.77429427,-5.14341328
1.77664096,-5.14115991
1.77892073,-5.13890653
1.78115152,-5.13665316
1.78338231,-5.13439978
1.78561309,-5.13214641
1.78783467,-5.12989304
1.78994435,-5.12763966
1.79205403,-5.12538629
1.79416371,-5.12313291
1.79627339,-5.12087954
1.79834318,-5.11862617
1.80032629,-5.11637279
1.80230940,-5.11411942
1.80429251,-5.11186604
1.80627562,-5.10961267
1.80822588,-5.10735929
1.81007704,-5.10510592
1.81192819,-5.10285255
1.81377935,-5.10059917
1.81563051,-5.09834580
1.81748166,-5.09609242
1.81922061,-5.09383905
1.82093490,-5.09158568
1.82264919,-5.08933230
1.82436348,-5.08707893
1.82607777,-5.08482555
1.82779205,-5.08257218
1.82937190,-5.08031881
1.83094539,-5.07806543
1.83251888,-5.07581206
1.83409237,-5.07355868
1.83566585,-5.07130531
1.83723934,-5.06905194
1.83873234,-5.06679856
1.84016259,-5.06454519
1.84159284,-5.06229181
1.84302309,-5.06003844
1.84445334,-5.05778507
1.84588359,-5.05553169
1.84731384,-5.05327832
1.84866868,-5.05102494
1.84995521,-5.04877157
1.85124174,-5.04651820
1.85252827,-5.04426482
1.85381480,-5.04201145
1.85510133,-5.03975807
1.85638786,-5.03750470
1.85767439,-5.03525133
1.85886221,-5.03299795
1.86000681,-5.03074458
1.86115142,-5.02849120
1.86229603,-5.02623783
1.86344064,-5.02398446
1.86458524,-5.02173108
1.86572985,-5.01947771
1.86687446,-5.01722433
1.86801907,-5.01497096
1.86904143,-5.01271758
1.87004834,-5.01046421
1.87105524,-5.00821084
1.87206215,-5.00595746
1.87306906,-5.00370409
1.87407596,-5.00145071
1.87508287,-4.99919734
1.87608978,-4.99694397
1.87709669,-4.99469059
1.87810359,-4.99243722
1.87899714,-4.99018384
1.87987288,-4.98793047
1.88074863,-4.98567710
1.88162438,-4.98342372
1.88250012,-4.98117035
1.88337587,-4.97891697
1.88425161,-4.97666360
1.88512736,-4.97441023
1.88600310,-4.97215685
1.88687885,-4.96990348
1.88775460,-4.96765010
1.88859068,-4.96539673
1.88934385,-4.96314336
1.89009703,-4.96088998
1.89085020,-4.95863661
1.89160337,-4.95638323
1.89235655,-4.95412986
1.89310972,-4.95187649
1.89386289,-4.94962311
1.89461607,-4.94736974
1.89536924,-4.94511636
1.89612242,-4.94286299
1.89687559,-4.94060962
1.89762876,-4.93835624
1.89838194,-4.93610287
1.89903604,-4.93384949
1.89967681,-4.93159612
1.90031758,-4.92934274
1.90095834,-4.92708937
1.90159911,-4.92483600
1.90223988,-4.92258262
1.90288065,-4.92032925
1.90352142,-4.91807587
1.90416219,-4.91582250
1.90480296,-4.91356913
1.90544373,-4.91131575
1.90608450,-4.90906238
1.90672527,-4.90680900
1.90736603,-4.90455563
1.90800680,-4.90230226
1.90864286,-4.90004888
1.90918242,-4.89779551
1.90972199,-4.89554213
1.91026156,-4.89328876
1.91080112,-4.89103539
1.91134069,-4.88878201
1.91188026,-4.88652864
1.91241982,-4.88427526
1.91295939,-4.88202189
1.91349896,-4.87976852
1.91403853,-4.87751514
1.91457809,-4.87526177
1.91511766,-4.87300839
1.91565723,-4.87075502
1.91619679,-4.86850165
1.91673636,-4.86624827
1.91727593,-4.86399490
1.91781549,-4.86174152
1.91835506,-4.85948815
1.91887761,-4.85723478
1.91932764,-4.85498140
1.91977766,-4.85272803
1.92022769,-4.85047465
1.92067771,-4.84822128
1.92112774,-4.84596790
1.92157776,-4.84371453
1.92202779,-4.84146116
1.92247781,-4.83920778
1.92292784,-4.83695441
1.92337786,-4.83470103
1.92382789,-4.83244766
1.92427791,-4.83019429
1.92472794,-4.82794091
1.92517796,-4.82568754
1.92562799,-4.82343416
1.92607801,-4.82118079
1.92652804,-4.81892742
1.92697806,-4.81667404
1.92742809,-4.81442067
1.92787811,-4.81216729
1.92832814,-4.80991392
1.92877816,-4.80766055
1.92918900,-4.80540717
1.92956109,-4.80315380
1.92993318,-4.80090042
1.93030526,-4.79864705
1.93067735,-4.79639368
1.93104944,-4.79414030
1.93142153,-4.79188693
1.93179362,-4.78963355
1.93216570,-4.78738018
1.93253779,-4.78512681
1.93290988,-4.78287343
1.93328197,-4.78062006
1.93365406,-4.77836668
1.93402614,-4.77611331
1.93439823,-4.77385994
1.93477032,-4.77160656
1.93514241,-4.76935319
1.93551450,-4.76709981
1.93588658,-4.76484644
1.93625867,-4.76259307
1.93663076,-4.76033969
1.93700285,-4.75808632
1.93737494,-4.75583294
1.93774702,-4.75357957
1.93811911,-4.75132619
1.93849120,-4.74907282
1.93886329,-4.74681945
1.93923538,-4.74456607
1.93954449,-4.74231270
1.93984977,-4.74005932
1.94015504,-4.73780595
1.94046031,-4.73555258
1.94076559,-4.73329920
1.94107086,-4.73104583
1.94137613,-4.72879245
1.94168140,-4.72653908
1.94198668,-4.72428571
1.94229195,-4.72203233
1.94259722,-4.71977896
1.94290249,-4.71752558
1.94320777,-4.71527221
1.94351304,-4.71301884
1.94381831,-4.71076546
1.94412359,-4.70851209
1.94442886,-4.70625871
1.94473413,-4.70400534
1.94503940,-4.70175197
1.94534468,-4.69949859
1.94564995,-4.69724522
1.94595522,-4.69499184
1.94626050,-4.69273847
1.94656577,-4.69048510
1.94687104,-4.68823172
1.94717631,-4.68597835
1.94748159,-4.68372497
1.94778686,-4.68147160
1.94809213,-4.67921823
1.94839741,-4.67696485
1.94870268,-4.67471148
1.94900795,-4.67245810
1.94931322,-4.67020473
1.94960937,-4.66795135
1.94985815,-4.66569798
1.95010693,-4.66344461
1.95035571,-4.66119123
1.95060449,-4.65893786
1.95085327,-4.65668448
1.95110205,-4.65443111
1.95135083,-4.65217774
1.95159960,-4.64992436
1.95184838,-4.64767099
1.95209716,-4.64541761
1.95234594,-4.64316424
1.95259472,-4.64091087
1.95284350,-4.63865749
1.95309228,-4.63640412
1.95334106,-4.63415074
1.95358984,-4.63189737
1.95383862,-4.62964400
1.95408739,-4.62739062
1.95433617,-4.62513725
1.95458495,-4.62288387
1.95483373,-4.62063050
1.95508251,-4.61837713
1.95533129,-4.61612375
1.95558007,-4.61387038
1.95582885,-4.61161700
1.95607763,-4.60936363
1.95632641,-4.60711026
1.95657518,-4.60485688
1.95682396,-4.60260351
1.95707274,-4.60035013
1.95732152,-4.59809676
1.95757030,-4.59584339
1.95781908,-4.59359001
1.95806786,-4.59133664
1.95831664,-4.58908326
1.95856542,-4.58682989
1.95881420,-4.58457651
1.95906297,-4.58232314
1.95931175,-4.58006977
1.95956053,-4.57781639
1.95980931,-4.57556302
1.96003860,-4.57330964
1.96024021,-4.57105627
1.96044182,-4.56880290
1.96064344,-4.56654952
1.96084505,-4.56429615
1.96104594,-4.56204277
1.96124630,-4.55978940
1.96144666,-4.55753603
1.96164702,-4.55528265
1.96184738,-4.55302928
1.96204774,-4.55077590
1.96224810,-4.54852253
1.96244846,-4.54626916
1.96264882,-4.54401578
1.96284918,-4.54176241
1.96304954,-4.53950903
1.96324990,-4.53725566
1.96345026,-4.53500229
1.96365062,-4.53274891
1.96385098,-4.53049554
1.96405134,-4.52824216
1.96425170,-4.52598879
1.96445206,-4.52373542
1.96465242,-4.52148204
1.96485278,-4.51922867
1.96505314,-4.51697529
1.96525351,-4.51472192
1.96545387,-4.51246855
1.96565423,-4.51021517
1.96585459,-4.50796180
1.96605495,-4.50570842
1.96625531,-4.50345505
1.96645567,-4.50120168
1.96665603,-4.49894830
1.96685639,-4.49669493
1.96705675,-4.49444155
1.96725711,-4.49218818
1.96745747,-4.48993480
1.96765783,-4.48768143
1.96785819,-4.48542806
1.96805855,-4.48317468
1.96825891,-4.48092131
1.96845927,-4.47866793
1.96865963,-4.47641456
1.96885999,-4.47416119
1.96906035,-4.47190781
1.96926071,-4.46965444
1.96946107,-4.46740106
1.96966143,-4.46514769
1.96986179,-4.46289432
1.97006215,-4.46064094
1.97026251,-4.45838757
1.97044619,-4.45613419
1.97060762,-4.45388082
1.97076904,-4.45162745
1.97093047,-4.44937407
1.97109190,-4.44712070
1.97125333,-4.44486732
1.97141476,-4.44261395
1.97157618,-4.44036058
1.97173761,-4.43810720
1.97189904,-4.43585383
1.97206047,-4.43360045
1.97222190,-4.43134708
1.97238332,-4.42909371
1.97254475,-4.42684033
1.97270618,-4.42458696
1.97286761,-4.42233358
1.97302903,-4.42008021
1.97319046,-4.41782684
1.97335189,-4.41557346
1.97351332,-4.41332009
1.97367475,-4.41106671
1.97383617,-4.40881334
1.97399760,-4.40655996
1.97415903,-4.40430659
1.97432046,-4.40205322
1.97448189,-4.39979984
1.97464331,-4.39754647
1.97480474,-4.39529309
1.97496617,-4.39303972
1.97512760,-4.39078635
1.97528902,-4.38853297
1.97545045,-4.38627960
1.97561188,-4.38402622
1.97577331,-4.38177285
1.97593474,-4.37951948
1.97609616,-4.37726610
1.97625759,-4.37501273
1.97641902,-4.37275935
1.97658045,-4.37050598
1.97674188,-4.36825261
1.97690330,-4.36599923
1.97706473,-4.36374586
1.97722616,-4.36149248
1.97738759,-4.35923911
1.97754901,-4.35698574
1.97771044,-4.35473236
1.97787187,-4.35247899
1.97803330,-4.35022561
1.97819473,-4.34797224
1.97835615,-4.34571887
1.97851758,-4.34346549
1.97867901,-4.34121212
1.97884044,-4.33895874
1.97900187,-4.33670537
1.97916329,-4.33445200
1.97932472,-4.33219862
1.97948615,-4.32994525
1.97964758,-4.32769187
1.97980900,-4.32543850
1.97997043,-4.32318513
1.98013186,-4.32093175
1.98029329,-4.31867838
1.98045472,-4.31642500
1.98061614,-4.31417163
1.98077757,-4.31191825
1.98093095,-4.30966488
1.98106057,-4.30741151
1.98119019,-4.30515813
1.98131981,-4.30290476
1.98144944,-4.30065138
1.98157906,-4.29839801
1.98170868,-4.29614464
1.98183830,-4.29389126
1.98196792,-4.29163789
1.98209754,-4.28938451
1.98222717,-4.28713114
1.98235679,-4.28487777
1.98248641,-4.28262439
1.98261603,-4.28037102
1.98274565,-4.27811764
1.98287528,-4.27586427
1.98300490,-4.27361090
1.98313452,-4.27135752
1.98326414,-4.26910415
1.98339376,-4.26685077
1.98352338,-4.26459740
1.98365301,-4.26234403
1.98378263,-4.26009065
1.98391225,-4.25783728
1.98404187,-4.25558390
1.98417149,-4.25333053
1.98430111,-4.25107716
1.98443074,-4.24882378
1.98456036,-4.24657041
1.98468998,-4.24431703
1.98481960,-4.24206366
1.98494922,-4.23981029
1.98507885,-4.23755691
1.98520847,-4.23530354
1.98533809,-4.23305016
1.98546771,-4.23079679
1.98559733,-4.22854341
1.98572695,-4.22629004
1.98585658,-4.22403667
1.98598620,-4.22178329
1.98611582,-4.21952992
1.98624544,-4.21727654
1.98637506,-4.21502317
1.98650468,-4.21276980
1.98663431,-4.21051642
1.98676393,-4.20826305
1.98689355,-4.20600967
1.98702317,-4.20375630
1.98715279,-4.20150293
1.98728242,-4.19924955
1.98741204,-4.19699618
1.98754166,-4.19474280
1.98767128,-4.19248943
1.98780090,-4.19023606
1.98793052,-4.18798268
1.98806015,-4.18572931
1.98818977,-4.18347593
1.98831939,-4.18122256
1.98844901,-4.17896919
1.98857863,-4.17671581
1.98870826,-4.17446244
1.98883788,-4.17220906
1.98896750,-4.16995569
1.98909712,-4.16770232
1.98922674,-4.16544894
1.98935636,-4.16319557
1.98948599,-4.16094219
1.98961561,-4.15868882
1.98974523,-4.15643545
1.98987485,-4.15418207
1.99000447,-4.15192870
1.99013409,-4.14967532
1.99026372,-4.14742195
1.99039334,-4.14516857
1.99052296,-4.14291520
1.99065258,-4.14066183
1.99078220,-4.13840845
1.99091183,-4.13615508
1.99104145,-4.13390170
1.99117107,-4.13164833
1.99130069,-4.12939496
1.99143031,-4.12714158
1.99155907,-4.12488821
1.99166294,-4.12263483
1.99176682,-4.12038146
1.99187070,-4.11812809
1.99197458,-4.11587471
1.99207846,-4.11362134
1.99218234,-4.11136796
1.99228622,-4.10911459
1.99239010,-4.10686122
1.99249398,-4.10460784
1.99259786,-4.10235447
1.99270173,-4.10010109
1.99280561,-4.09784772
1.99290949,-4.09559435
1.99301337,-4.09334097
1.99311725,-4.09108760
1.99322113,-4.08883422
1.99332501,-4.08658085
1.99342889,-4.08432748
1.99353277,-4.08207410
1.99363664,-4.07982073
1.99374052,-4.07756735
1.99384440,-4.07531398
1.99394828,-4.07306061
1.99405216,-4.07080723
1.99415604,-4.06855386
1.99425992,-4.06630048
1.99436380,-4.06404711
1.99446768,-4.06179374
1.99457156,-4.05954036
1.99467543,-4.05728699
1.99477931,-4.05503361
1.99488319,-4.05278024
1.99498707,-4.05052686
1.99509095,-4.04827349
1.99519483,-4.04602012
1.99529871,-4.04376674
1.99540259,-4.04151337
1.99550647,-4.03925999
1.99561035,-4.03700662
1.99571422,-4.03475325
1.99581810,-4.03249987
1.99592198,-4.03024650
1.99602586,-4.02799312
1.99612974,-4.02573975
1.99623362,-4.02348638
1.99633750,-4.02123300
1.99644138,-4.01897963
1.99654526,-4.01672625
1.99664913,-4.01447288
1.99675301,-4.01221951
1.99685689,-4.00996613
1.99696077,-4.00771276
1.99706465,-4.00545938
1.99716853,-4.00320601
1.99727241,-4.00095264
1.99737629,-3.99869926
1.99748017,-3.99644589
1.99758405,-3.99419251
1.99768792,-3.99193914
1.99779180,-3.98968577
1.99789568,-3.98743239
1.99799956,-3.98517902
1.99810344,-3.98292564
1.99820732,-3.98067227
1.99831120,-3.97841890
1.99841508,-3.97616552
1.99851896,-3.97391215
1.99862283,-3.97165877
1.99872671,-3.96940540
1.99883059,-3.96715202
1.99893447,-3.96489865
1.99903835,-3.96264528
1.99914223,-3.96039190
1.99924611,-3.95813853
1.99934999,-3.95588515
1.99945387,-3.95363178
1.99955775,-3.95137841
1.99966162,-3.94912503
1.99976550,-3.94687166
1.99986938,-3.94461828
1.99997326,-3.94236491
2.00007714,-3.94011154
2.00018102,-3.93785816
2.00028490,-3.93560479
2.00038878,-3.93335141
2.00049266,-3.93109804
2.00059654,-3.92884467
2.00070041,-3.92659129
2.00080429,-3.92433792
2.00090817,-3.92208454
2.00101205,-3.91983117
2.00111593,-3.91757780
2.00121981,-3.91532442
2.00132369,-3.91307105
2.00142757,-3.91081767
2.00153145,-3.90856430
2.00163532,-3.90631093
2.00173920,-3.90405755
2.00184308,-3.90180418
2.00194696,-3.89955080
2.00205084,-3.89729743
2.00215472,-3.89504406
2.00225860,-3.89279068
2.00236248,-3.89053731
2.00245107,-3.88828393
2.00253429,-3.88603056
2.00261750,-3.88377719
2.00270072,-3.88152381
2.00278394,-3.87927044
2.00286716,-3.87701706
2.00295038,-3.87476369
2.00303359,-3.87251031
2.00311681,-3.87025694
2.00320003,-3.86800357
2.00328325,-3.86575019
2.00336647,-3.86349682
2.00344969,-3.86124344
2.00353290,-3.85899007
2.00361612,-3.85673670
2.00369934,-3.85448332
2.00378256,-3.85222995
2.00386578,-3.84997657
2.00394899,-3.84772320
2.00403221,-3.84546983
2.00411543,-3.84321645
2.00419865,-3.84096308
2.00428187,-3.83870970
2.00436508,-3.83645633
2.00444830,-3.83420296
2.00453152,-3.83194958
2.00461474,-3.82969621
2.00469796,-3.82744283
2.00478118,-3.82518946
2.00486439,-3.82293609
2.00494761,-3.82068271
2.00503083,-3.81842934
2.00511405,-3.81617596
2.00519727,-3.81392259
2.00528048,-3.81166922
2.00536370,-3.80941584
2.00544692,-3.80716247
2.00553014,-3.80490909
2.00561336,-3.80265572
2.00569658,-3.80040235
2.00577979,-3.79814897
2.00586301,-3.79589560
2.00594623,-3.79364222
2.00602945,-3.79138885
2.00611267,-3.78913547
2.00619588,-3.78688210
2.00627910,-3.78462873
2.00636232,-3.78237535
2.00644554,-3.78012198
2.00652876,-3.77786860
2.00661197,-3.77561523
2.00669519,-3.77336186
2.00677841,-3.77110848
2.00686163,-3.76885511
2.00694485,-3.76660173
2.00702807,-3.76434836
2.00711128,-3.76209499
2.00719450,-3.75984161
2.00727772,-3.75758824
2.00736094,-3.75533486
2.00744416,-3.75308149
2.00752737,-3.75082812
2.00761059,-3.74857474
2.00769381,-3.74632137
2.00777703,-3.74406799
2.00786025,-3.74181462
2.00794346,-3.73956125
2.00802668,-3.73730787
2.00810990,-3.73505450
2.00819312,-3.73280112
2.00827634,-3.73054775
2.00835956,-3.72829438
2.00844277,-3.72604100
2.00852599,-3.72378763
2.00860921,-3.72153425
2.00869243,-3.71928088
2.00877565,-3.71702751
2.00885886,-3.71477413
2.00894208,-3.71252076
2.00902530,-3.71026738
2.00910852,-3.70801401
2.00919174,-3.70576063
2.00927495,-3.70350726
2.00935817,-3.70125389
2.00944139,-3.69900051
2.00952461,-3.69674714
2.00960783,-3.69449376
2.00969105,-3.69224039
2.00977426,-3.68998702
2.00985748,-3.68773364
2.00994070,-3.68548027
2.01002392,-3.68322689
2.01010714,-3.68097352
2.01019035,-3.67872015
2.01027357,-3.67646677
2.01035679,-3.67421340
2.01044001,-3.67196002
2.01052323,-3.66970665
2.01060644,-3.66745328
2.01068966,-3.66519990
2.01077288,-3.66294653
2.01085610,-3.66069315
2.01093932,-3.65843978
2.01102254,-3.65618641
2.01110575,-3.65393303
2.01118897,-3.65167966
2.01127219,-3.64942628
2.01135541,-3.64717291
2.01143863,-3.64491954
2.01152184,-3.64266616
2.01160506,-3.64041279
2.01168828,-3.63815941
2.01177150,-3.63590604
2.01185472,-3.63365267
2.01193794,-3.63139929
2.01202115,-3.62914592
2.01210437,-3.62689254
2.01218759,-3.62463917
2.01227081,-3.62238580
2.01235403,-3.62013242
2.01243724,-3.61787905
2.01252046,-3.61562567
2.01260368,-3.61337230
2.01268690,-3.61111892
2.01277012,-3.60886555
2.01285333,-3.60661218
2.01293655,-3.60435880
2.01301977,-3.60210543
2.01310299,-3.59985205
2.01318621,-3.59759868
2.01326943,-3.59534531
2.01335264,-3.59309193
2.01343586,-3.59083856
2.01350591,-3.58858518
2.01357267,-3.58633181
2.01363943,-3.58407844
2.01370619,-3.58182506
2.01377296,-3.57957169
2.01383972,-3.57731831
2.01390648,-3.57506494
2.01397324,-3.57281157
2.01404000,-3.57055819
2.01410677,-3.56830482
2.01417353,-3.56605144
2.01424029,-3.56379807
2.01430705,-3.56154470
2.01437382,-3.55929132
2.01444058,-3.55703795
2.01450734,-3.55478457
2.01457410,-3.55253120
2.01464086,-3.55027783
2.01470763,-3.54802445
2.01477439,-3.54577108
2.01484115,-3.54351770
2.01490791,-3.54126433
2.01497468,-3.53901096
2.01504144,-3.53675758
2.01510820,-3.53450421
2.01517496,-3.53225083
2.01524172,-3.52999746
2.01530849,-3.52774408
2.01537525,-3.52549071
2.01544201,-3.52323734
2.01550877,-3.52098396
2.01557553,-3.51873059
2.01564230,-3.51647721
2.01570906,-3.51422384
2.01577582,-3.51197047
2.01584258,-3.50971709
2.01590935,-3.50746372
2.01597611,-3.50521034
2.01604287,-3.50295697
2.01610963,-3.50070360
2.01617639,-3.49845022
2.01624316,-3.49619685
2.01630992,-3.49394347
2.01637668,-3.49169010
2.01644344,-3.48943673
2.01651021,-3.48718335
2.01657697,-3.48492998
2.01664373,-3.48267660
2.01671049,-3.48042323
2.01677725,-3.47816986
2.01684402,-3.47591648
2.01691078,-3.47366311
2.01697754,-3.47140973
2.01704430,-3.46915636
2.01711107,-3.46690299
2.01717783,-3.46464961
2.01724459,-3.46239624
2.01731135,-3.46014286
2.01737811,-3.45788949
2.01744488,-3.45563612
2.01751164,-3.45338274
2.01757840,-3.45112937
2.01764516,-3.44887599
2.01771193,-3.44662262
2.01777869,-3.44436925
2.01784545,-3.44211587
2.01791221,-3.43986250
2.01797897,-3.43760912
2.01804574,-3.43535575
2.01811250,-3.43310237
2.01817926,-3.43084900
2.01824602,-3.42859563
2.01831279,-3.42634225
2.01837955,-3.42408888
2.01844631,-3.42183550
2.01851307,-3.41958213
2.01857983,-3.41732876
2.01864660,-3.41507538
2.01871336,-3.41282201
2.01878012,-3.41056863
2.01884688,-3.40831526
2.01891365,-3.40606189
2.01898041,-3.40380851
2.01904717,-3.40155514
2.01911393,-3.39930176
2.01918069,-3.39704839
2.01924746,-3.39479502
2.01931422,-3.39254164
2.01938098,-3.39028827
2.01944774,-3.38803489
2.01951450,-3.38578152
2.01958127,-3.38352815
2.01964803,-3.38127477
2.01971479,-3.37902140
2.01978155,-3.37676802
2.01984832,-3.37451465
2.01991508,-3.37226128
2.01998184,-3.37000790
2.02004860,-3.36775453
2.02011536,-3.36550115
2.02018213,-3.36324778
